Record,Image Frame ID,Label,Score,x1,y1,x2,y2,GT Label,Threshold,GTx1,GTx2,GTy1,GTy2
0,1,alien,0.987644851207733,920.222045898437,243.421905517578,962.713256835937,308.385284423828,tiger,0.5,926,958,243.421905517578,301
1,2,alien,0.9839369058609,919.54443359375,255.061248779296,965.888061523437,305.472930908203,tiger,0.5,929,958,255.061248779296,302
2,3,alien,0.98463100194931,919.329345703125,255.698364257812,966.233764648437,305.948425292968,tiger,0.5,927,958,255.698364257812,302
3,4,alien,0.983412384986877,920.016845703125,256.790466308593,966.449584960937,306.455993652343,tiger,0.5,928,959,256.790466308593,301
4,5,alien,0.980213224887847,924.729797363281,227.831359863281,965.988952636718,302.414794921875,tiger,0.5,928,958,240,302
5,6,alien,0.980835914611816,920.88525390625,257.802154541015,966.539428710937,307.847442626953,tiger,0.5,925,959,257.802154541015,302
6,7,alien,0.977441370487213,924.987060546875,228.362213134765,965.576293945312,303.70962524414,tiger,0.5,929,958,241,301
7,8,alien,0.976036489009857,919.899658203125,256.045318603515,967.320434570312,306.536529541015,tiger,0.5,926,959,256.045318603515,301
8,9,alien,0.975545465946197,907.360290527343,234.062026977539,952.001403808593,307.278167724609,tiger,0.5,926,952.001403808593,241,301
9,10,alien,0.980342447757721,924.209594726562,229.552673339843,965.43994140625,304.308410644531,tiger,0.5,929,957,241,301
10,11,alien,0.975542485713958,913.370971679687,236.19921875,954.419311523437,301.429748535156,tiger,0.5,927,954.419311523437,242,301.429748535156
11,12,alien,0.970144629478454,921.268920898437,241.608154296875,963.570068359375,309.668640136718,tiger,0.5,927,959,242,303
12,13,alien,0.951527535915374,909.413330078125,233.492355346679,954.278076171875,302.563201904296,tiger,0.5,929,954.278076171875,243,302.563201904296
13,14,alien,0.959564507007598,912.208862304687,237.288864135742,960.410034179687,302.76953125,tiger,0.5,931,960.410034179687,244,302.76953125
14,15,alien,0.980404794216156,931.772399902343,249.906509399414,974.701599121093,297.978881835937,tiger,0.5,940,970,249.906509399414,297.978881835937
15,16,alien,0.982271909713745,937.451110839843,229.972229003906,979.905700683593,295.798461914062,alien,0.5,951,978,240,295.798461914062
16,17,alien,0.971788763999939,940.397338867187,227.018951416015,987.596801757812,294.305023193359,alien,0.5,959,987,239,294.305023193359
17,18,alien,0.981147050857544,940.493591308593,230.374313354492,992.547180175781,301.391784667968,alien,0.5,963,992.547180175781,240,295
18,19,alien,0.97786921262741,945.236572265625,231.925201416015,995.89794921875,301.559417724609,alien,0.5,972,995.89794921875,239,294
19,20,alien,0.987479984760284,946.182434082031,218.181976318359,998.589172363281,290.703918457031,alien,0.5,975,998.589172363281,237,290.703918457031
20,21,alien,0.995975196361541,964.928527832031,228.572891235351,1019.02630615234,296.818420410156,alien,0.5,980,1013,232,287
21,22,alien,0.992848873138427,964.636108398437,220.287612915039,1016.20153808593,284.434875488281,NA,0.5,0,0,0,0
22,23,alien,0.997385442256927,959.00634765625,230.889892578125,1031.93579101562,291.251220703125,alien,0.5,988,1024,230.889892578125,281
23,24,alien,0.998562276363372,968.756774902343,207.904373168945,1030.6611328125,271.755310058593,alien,0.5,989,1030.6611328125,221,271.755310058593
24,25,alien,0.996958136558532,970.4140625,224.906143188476,1049.65478515625,276.777252197265,alien,0.5,1001,1041,224.906143188476,266
25,26,alien,0.996078312397003,983.659545898437,199.735610961914,1052.96997070312,255.341903686523,alien,0.5,1005,1049,208,255.341903686523
